channel	R	A	S	RES
B'1	-21.0	-17.0	-19.0	TRUE
B'2	-24.6	-17.0	-19.4	TRUE
B'3	-28.1	-17.0	-19.9	TRUE
B'4	-31.7	-17.0	-20.3	TRUE
B'5	-35.2	-17.0	-20.8	TRUE
B'6	-38.8	-17.0	-21.2	TRUE
B'7	-42.3	-17.0	-21.7	TRUE
B'8	-45.9	-17.0	-22.1	FALSE
B'9	-49.4	-17.0	-22.6	FALSE
B'10	-53.0	-17.0	-23.0	FALSE
B'11	-56.6	-17.0	-23.4	FALSE
B'12	-60.1	-17.0	-23.9	FALSE
B'13	-63.7	-17.0	-24.3	FALSE
B'14	-67.2	-17.0	-24.8	FALSE
B'15	-70.8	-17.0	-25.2	FALSE
C'1	-27.0	-29.0	-9.0	FALSE
C'2	-30.6	-29.1	-9.4	FALSE
C'3	-34.1	-29.2	-9.9	FALSE
C'4	-37.7	-29.3	-10.3	FALSE
C'5	-41.2	-29.4	-10.8	FALSE
C'6	-44.8	-29.6	-11.2	FALSE
C'7	-48.3	-29.7	-11.7	FALSE
C'8	-51.9	-29.8	-12.1	FALSE
C'9	-55.4	-29.9	-12.6	FALSE
C'10	-59.0	-30.0	-13.0	FALSE
C'11	-62.6	-30.1	-13.4	FALSE
C'12	-66.1	-30.2	-13.9	FALSE
C'13	-69.7	-30.3	-14.3	FALSE
C'14	-73.2	-30.4	-14.8	FALSE
C'15	-76.8	-30.6	-15.2	FALSE
R'1	-12.0	-65.0	1.0	FALSE
R'2	-15.6	-65.2	0.4	FALSE
R'3	-19.1	-65.4	-0.1	FALSE
R'4	-22.7	-65.7	-0.7	FALSE
R'5	-26.2	-65.9	-1.2	FALSE
R'6	-29.8	-66.1	-1.8	FALSE
R'7	-33.3	-66.3	-2.3	FALSE
R'8	-36.9	-66.6	-2.9	FALSE
R'9	-40.4	-66.8	-3.4	FALSE
R'10	-44.0	-67.0	-4.0	FALSE
R'11	-47.6	-67.2	-4.6	FALSE
R'12	-51.1	-67.4	-5.1	FALSE
R'13	-54.7	-67.7	-5.7	FALSE
R'14	-58.2	-67.9	-6.2	FALSE
R'15	-61.8	-68.1	-6.8	FALSE
A'1	-29.0	6.0	-30.0	TRUE
A'2	-32.6	6.1	-30.1	TRUE
A'3	-36.1	6.2	-30.2	TRUE
A'4	-39.7	6.3	-30.3	TRUE
A'5	-43.2	6.4	-30.4	TRUE
A'6	-46.8	6.6	-30.6	TRUE
A'7	-50.3	6.7	-30.7	TRUE
A'8	-53.9	6.8	-30.8	TRUE
A'9	-57.4	6.9	-30.9	TRUE
A'10	-61.0	7.0	-31.0	TRUE
L'1	-29.0	-46.0	-10.0	FALSE
L'2	-32.6	-46.1	-10.4	FALSE
L'3	-36.1	-46.2	-10.9	FALSE
L'4	-39.7	-46.3	-11.3	FALSE
L'5	-43.2	-46.4	-11.8	FALSE
L'6	-46.8	-46.6	-12.2	FALSE
L'7	-50.3	-46.7	-12.7	FALSE
L'8	-53.9	-46.8	-13.1	FALSE
L'9	-57.4	-46.9	-13.6	FALSE
L'10	-61.0	-47.0	-14.0	FALSE
K'1	-34.0	-54.0	9.0	FALSE
K'2	-37.6	-54.0	8.4	FALSE
K'3	-41.1	-54.0	7.9	FALSE
K'4	-44.7	-54.0	7.3	FALSE
K'5	-48.2	-54.0	6.8	FALSE
K'6	-51.8	-54.0	6.2	FALSE
K'7	-55.3	-54.0	5.7	FALSE
K'8	-58.9	-54.0	5.1	FALSE
K'9	-62.4	-54.0	4.6	FALSE
K'10	-66.0	-54.0	4.0	FALSE
T'1	-45.0	-22.0	5.0	FALSE
T'2	-48.4	-22.0	5.0	FALSE
T'3	-51.9	-22.0	5.0	FALSE
T'4	-55.3	-22.0	5.0	FALSE
T'5	-58.8	-22.0	5.0	FALSE
T'6	-62.2	-22.0	5.0	FALSE
T'7	-65.7	-22.0	5.0	FALSE
T'8	-69.1	-22.0	5.0	FALSE
T'9	-72.6	-22.0	5.0	FALSE
T'10	-76.0	-22.0	5.0	FALSE
D'1	-51.0	-46.0	26.0	FALSE
D'2	-54.5	-46.3	25.8	FALSE
D'3	-58.0	-46.5	25.5	FALSE
D'4	-61.5	-46.8	25.3	FALSE
D'5	-65.0	-47.0	25.0	FALSE
B1	30.0	-24.0	-16.0	FALSE
B2	33.5	-24.0	-16.0	FALSE
B3	37.0	-24.0	-16.0	FALSE
B4	40.5	-24.0	-16.0	FALSE
B5	44.0	-24.0	-16.0	FALSE
B6	47.5	-24.0	-16.0	FALSE
B7	51.0	-24.0	-16.0	FALSE
B8	54.5	-24.0	-16.0	FALSE
B9	58.0	-24.0	-16.0	FALSE
B10	61.5	-24.0	-16.0	FALSE
B11	65.0	-24.0	-16.0	FALSE
B12	68.5	-24.0	-16.0	FALSE
B13	72.0	-24.0	-16.0	FALSE
B14	75.5	-24.0	-16.0	FALSE
B15	79.0	-24.0	-16.0	FALSE
